gene,logFC,avg_expr,pvalue,padj,neg_log10_p,significant
MOSPD1,0.5552993,2.377684,3.1959421422132e-17,9.585909244790642e-17,16.495401091543588,False
LPCAT4,-0.848531,4.4230704,3.263214914432032e-17,9.781819287865804e-17,16.486354322755705,False
ENSG00000223612,-0.753798,2.134103,3.31281274489568e-17,9.924543873264468e-17,16.479803111705383,False
PTPRU,0.7186867,1.2167907,3.429075329279404e-17,1.0266692602632946e-16,16.46482297428108,False
RPL23AP65,0.6860204,1.1828989,3.465723551615132e-17,1.0370208113749646e-16,16.460206082359647,False
TNFRSF11A,-0.9257233,2.7784214,3.5612331450193016e-17,1.0649620648981165e-16,16.448399593222437,False
TMEM273,-0.7823293,1.4999695,3.600590437086479e-17,1.0760879967383379e-16,16.443626276304155,False
FLVCR2,-1.1316674,1.5853287,3.677430096698591e-17,1.0979269598626357e-16,16.434455573911542,True
ENSG00000287839,0.6305013,0.69680214,3.67805531553983e-17,1.0979269598626357e-16,16.434381743544634,False
RHBDL2,-1.4215299,2.4400337,3.683830419254925e-17,1.0989947551476506e-16,16.433700370244175,True
ZDHHC1,0.5960951,2.2343912,3.7704933790947286e-17,1.1241781094498295e-16,16.423601817486862,False
STAB1,-1.3696129,2.8422818,3.8995770422624597e-17,1.1619717050841655e-16,16.408982495069083,True
PLEKHG5,0.66457844,2.049565,3.909874104184002e-17,1.1643460703347235e-16,16.407837226424707,False
PPP1R3D,0.38475168,2.1690652,4.0631944365681095e-17,1.2092840585024135e-16,16.391132394826393,False
ITGB8,0.54305756,1.0567353,4.09325626181347e-17,1.217506324156297e-16,16.387931065125645,False
SEZ6L2,0.94229555,3.3784127,4.451834206762088e-17,1.3233752100957455e-16,16.351461017838925,False
TNFSF13,-0.7759137,2.9181132,4.546160736027454e-17,1.3506122210420242e-16,16.34235521323584,False
KIFC1,1.2001657,3.592805,4.602885676577726e-17,1.366652516798612e-16,16.336969811690434,True
ACSL4,0.81815577,2.9393964,4.615175572205402e-17,1.369488300357686e-16,16.335811772733496,False
SLC49A3,-0.7636851,1.5012197,4.628921908807864e-17,1.3727526419952144e-16,16.334520145823348,False
PAG1,-1.3172495,2.4270926,4.980789115387361e-17,1.4762267680460467e-16,16.302701845732468,True
GLO1,0.8261299,5.6105127,5.048247781840565e-17,1.495334058602063e-16,16.296859336877013,False
MBOAT1,-0.8798499,3.3825555,5.28183310767243e-17,1.5635977228159945e-16,16.277215325499792,False
SKA1,0.93412435,1.8410859,5.379080410854301e-17,1.5914439085367755e-16,16.26929196348367,False
ENSG00000225489,0.5780136,0.97078395,5.4759794880517804e-17,1.619154195166109e-16,16.261538187317196,False
TPSB2,-1.852638,2.811242,5.5442700989253794e-17,1.6383776888077364e-16,16.256155620456944,True
COL5A1,1.2717342,3.6593666,5.55042044924402e-17,1.6392263583118783e-16,16.255674117441213,True
LNC-WAL,0.7103536,2.3750968,5.599519627478866e-17,1.652750775525049e-16,16.251849228723017,False
SEMA3F,0.8299861,2.781404,5.653431104795869e-17,1.6676787919751826e-16,16.24768789596651,False
EPDR1,0.79518414,3.1265464,5.660034086270098e-17,1.6686421244900056e-16,16.247180953363948,False
MZB1,-2.1357615,3.349802,6.019039008811448e-17,1.7727896189294514e-16,16.220472842045428,True
CCDC69,-2.20887,3.1940446,6.020393545884417e-17,1.7727896189294514e-16,16.22037511850636,True
MT-ND6,-1.4463787,10.514198,6.195312419481269e-17,1.823223195844988e-16,16.207936787974667,True
C6orf141,0.5644511,1.1818748,6.26372214444655e-17,1.8422712189548678e-16,16.20316751560689,False
FAM217B,0.56887424,1.9884756,6.410455766195252e-17,1.884319743149692e-16,16.193111092211748,False
MT1H,-3.6279056,3.6827683,6.789644782904828e-17,1.9946077505595851e-16,16.168152946317395,True
PAXIP1-DT,0.59218526,2.4145164,7.063842130132781e-17,2.073940731101815e-16,16.15095901537306,False
GAS7,-1.1171159,1.9514256,7.129014187415432e-17,2.0918468859787066e-16,16.146970520998877,True
GALNT1,-0.40461063,4.5388355,7.328878700025672e-17,2.1492312903301088e-16,16.134962466237784,False
IGKV3D-11,-2.1855147,2.7837048,7.626790261137761e-17,2.2352843672736694e-16,16.117658196666614,True
ZNF43,-0.39895254,0.92471206,7.701450141417425e-17,2.2558436266600544e-16,16.113427491825053,False
CDCA2,0.7989973,1.6533446,7.730771068610137e-17,2.263106284721937e-16,16.111777187305226,False
